PMID,Year,DOI,PMC,Title
33881553,2021,10.1007/s00261-021-03047-2,,Rectal MRI: the importance of high resolution T2 technique.
37417277,2023,10.15407/exp-oncology.2023.01.099,,DIAGNOSTICS OF LYMPHOGENIC METASTASIS IN PATIENTS WITH RECTAL CANCER BY COMBINING MRI WITH BLOOD CEA ASSESSMENT.
37989671,2023,10.1016/j.ajg.2023.09.001,,Improved effects of the b-value for 2000 sec/mm(2) DWI on an accurate qualitative and quantitative assessment of rectal cancer.
36437550,2023,10.1097/MNM.0000000000001638,,18 F-FDG PET/CT parameters for prediction of response to neoadjuvant therapy and prognosis in rectal cancer.
36593016,2023,10.21873/invivo.13095,PMC9843791,DWI-MR and PET-CT Functional Imaging for Boost Tumor Volume Delineation in Neoadjuvant Rectal Cancer Treatment.
36731309,2023,10.1016/j.cmpb.2022.107263,,Toward real-time automatic treatment planning (RTTP) with a one-step 3D fluence map prediction method and (nonorthogonal) convolution technique.
37230433,2023,10.1016/j.ijrobp.2023.05.027,,Development and Validation of a Radiomics Model Based on Lymph-Node Regression Grading After Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer.
37465788,2023,10.7759/cureus.40548,PMC10350655,Evaluation of Predictive and Prognostic Importance of Lung Immune Prognostic Index in Locally Advanced Rectal Cancer Patients Treated With Neoadjuvant Chemoradiotherapy.
33421885,2021,10.1016/j.ejrad.2020.109504,,The value of intravoxel incoherent motion and diffusion kurtosis imaging in the assessment of tumor regression grade and T stages after neoadjuvant chemoradiotherapy in patients with locally advanced rectal cancer.
34826772,2022,10.1016/j.clinimag.2021.10.005,PMC9119743,Rectal MRI radiomics for predicting pathological complete response: Where we are.
37568760,2023,10.3390/cancers15153945,PMC10417363,Validated Pretreatment Prediction Models for Response to Neoadjuvant Therapy in Patients with Rectal Cancer: A Systematic Review and Critical Appraisal.
34412187,2021,10.3760/cma.j.cn.441530-20210104-00010,,[Comparison of the mid- and long-term outcomes between natural orifice specimen extraction surgery and conventional laparoscopic surgery with abdominal auxiliary incision in the treatment of rectal cancer based on propensity score matching method].
