PMID,Year,DOI,PMC,Title
30247008,2018,10.1503/cjs.009417,PMC6153109,Role of the status of the mesorectal fascia in the selection of patients with rectal cancer for preoperative radiation therapy: a retrospective cohort study.
32551030,2020,10.4240/wjgs.v12.i5.247,PMC7289645,Management of synchronous lateral pelvic nodal metastasis in rectal cancer in the era of neoadjuvant chemoradiation: A systemic review.
24751125,2014,10.1111/ans.12409,,Accuracy of magnetic resonance imaging for preoperative staging of rectal cancer.
25731264,2014,,,[Detection of lateral lymph node metastasis by PET/CT].
26486376,2016,10.1002/rcs.1710,,Utility of indocyanine-green fluorescent imaging during robot-assisted sphincter-saving surgery on rectal cancer patients.
29404766,2018,10.1007/s00330-017-5284-z,,Pre-treatment magnetic resonance-based texture features as potential imaging biomarkers for predicting event free survival in anal cancer treated by chemoradiotherapy.
30477950,2019,10.1016/j.ejso.2018.11.016,,Predictive factors of pathological lateral pelvic lymph node metastasis in patients without clinical lateral pelvic lymph node metastasis (clinical stage II/III): The analysis of data from the clinical trial (JCOG0212).
30907777,2019,10.1097/LGT.0000000000000458,,International Anal Neoplasia Society Guidelines for the Practice of Digital Anal Rectal Examination.
18164156,2008,10.1016/j.ejrad.2007.11.029,,Preoperative 3T MR imaging of rectal cancer: local staging accuracy using a two-dimensional and three-dimensional T2-weighted turbo spin echo sequence.
32355671,2020,10.1159/000500730,PMC7184829,Comparison of Changes in Disease-Free and Overall Survival of Resectable Rectal Adenocarcinoma between 2010 and 2015.
32416279,2020,10.1016/j.radonc.2020.05.005,,Dose prediction using a deep neural network for accelerated planning of rectal cancer radiotherapy.
30744694,2019,10.1186/s40644-019-0192-x,PMC6371623,Application of magnetic resonance diffusion kurtosis imaging for distinguishing histopathologic subtypes and grades of rectal carcinoma.
26616800,2015,,,[Diagnosis and treatment of pelvic wall and bowel fibrosis with bowel obstruction induced by neoadjuvant chemoradiotherapy for rectal carcinoma].
26130453,2015,10.1245/s10434-015-4691-0,,"Assessment of Clinical Complete Response After Chemoradiation for Rectal Cancer with Digital Rectal Examination, Endoscopy, and MRI."
11195411,2000,,,NCCN Practice Guidelines for Colorectal Cancer.
32519956,2020,10.5152/tjg.2020.19225,PMC7289170,Prognostic significance of early complete response in patients with locally advanced rectal cancer undergoing preoperative chemoradiotherapy: Multicentric study of Turkish Society for Radiation Oncology Group (TROD).
27232254,2017,10.1097/SLA.0000000000001791,,Reply to: Does MRI Restaging of Rectal Cancer After Chemoradiotherapy Actually Permit a Change in Surgical Management?
18269488,2008,10.1111/j.1445-2197.2007.04402.x,,Preoperative staging of rectal cancer by magnetic resonance imaging remains an imprecise tool.
26571840,2015,,,[Results of complex treatment of patients with squamous cell carcinoma of the anal canal using advanced radiotherapy technologies].
16861558,2006,10.2214/AJR.05.0011,,Mucinous adenocarcinoma arising from fistula in ano: MRI findings.
24651959,2014,10.1007/s00384-014-1851-9,,Analysis of conversion factors in robotic-assisted rectal cancer surgery.
33038847,2020,10.1016/j.suronc.2020.09.021,,Lateral pelvic lymph node dissection in the management of locally advanced low rectal cancer: Summary of the current evidence.
28647399,2017,10.1016/j.radonc.2017.06.013,PMC5641595,Quantitative imaging outperforms molecular markers when predicting response to chemoradiotherapy for rectal cancer.
18070703,2007,10.1016/j.bpg.2007.11.003,,The multidisciplinary management of gastrointestinal cancer. Multimodal treatment of rectal cancer.
22109290,2011,10.2214/AJR.11.6508,,Reproducibility of depth of extramural tumor spread and distance to circumferential resection margin at rectal MRI: enhancement of clinical guidelines for neoadjuvant therapy.
24661656,2014,10.1016/j.ijrobp.2014.01.014,,Intraoperative radiation therapy reduces local recurrence rates in patients with microscopically involved circumferential resection margins after resection of locally advanced rectal cancer.
28851403,2017,10.1186/s13063-017-2085-2,PMC5576102,A rectal cancer feasibility study with an embedded phase III trial design assessing magnetic resonance tumour regression grade (mrTRG) as a novel biomarker to stratify management by good and poor response to chemoradiotherapy (TRIGGER): study protocol for a randomised controlled trial.
26693073,2015,,PMC4656744,A common variant in MTHFR influences response to chemoradiotherapy and recurrence of rectal cancer.
22212742,2012,10.1159/000334702,,Flexible sigmoidoscopy does not significantly increase polyp and cancer detection yield when used to supplement CT colonography.
30483843,2020,10.1007/s00261-018-1838-z,,Magnetic resonance imaging performed before and after preoperative chemoradiotherapy in rectal cancer: predictive factors of recurrence and prognostic significance of MR-detected extramural venous invasion.
30772135,2019,10.1016/j.clcc.2019.01.001,,Disqualification of Neoadjuvant Rectal Score Based on Data of 6596 Patients From the Netherlands Cancer Registry.
