PMID,Year,DOI,PMC,Title
20217256,2010,10.1245/s10434-010-1010-7,,Sentinel node biopsy by indocyanine green retention fluorescence detection for inguinal lymph node staging of anal cancer: preliminary experience.
30686505,2019,10.1016/j.crad.2018.10.015,,Quantitative MRI assessment of mucinous rectal adenocarcinoma to predict tumour response after neoadjuvant therapy.
21316666,2011,10.1016/j.gie.2010.12.029,,Feasibility of salvage endoscopic mucosal resection by using a cap for remnant rectal carcinoids after primary EMR.
21951893,2011,,,Robotic-assisted laparoscopic surgery of the colon and rectum: a literature review.
25140623,2014,,,Pelvic MRI for guiding treatment decisions in rectal cancer.
32044531,2020,10.1016/j.radonc.2020.01.020,,Automatic delineation of the clinical target volume and organs at risk by deep learning for rectal cancer postoperative radiotherapy.
16324387,2005,,,[Shape-memory alloy net-like stent for the management of ureteral stricture: a long-term follow-up report].
29878949,2018,10.1097/DCR.0000000000001114,,The American Society of Colon and Rectal Surgeons Clinical Practice Guidelines for Anal Squamous Cell Cancers (Revised 2018).
20392380,2010,,,Role of neo-adjuvant chemoradiation in locally advanced rectal cancers.
31113173,2019,10.3393/ac.2019.04.22.1,PMC6529756,Oncologic Outcomes in Patients Who Undergo Neoadjuvant Chemoradiotherapy and Total Mesorectal Excision for Locally Advanced Rectal Cancer: A 14-Year Experience in a Single Institution.
24026540,2013,10.1093/annonc/mdt368,,Unexpected toxicity of cetuximab combined with conventional chemoradiotherapy in patients with locally advanced anal cancer: results of the UNICANCER ACCORD 16 phase II trial.
21225143,2010,10.1590/s0004-28032010000400005,,Suggestion of optimal patient characteristics for sentinel lymph node mapping in colorectal adenocarcinoma.
27373910,2016,10.1016/j.radonc.2016.06.005,,Do refined consensus guidelines improve the uniformity of clinical target volume delineation for rectal cancer? Results of a national review project.
31387597,2019,10.1186/s13014-019-1342-9,PMC6685144,"FDG-PET parameters predict for recurrence in anal cancer - results from a prospective, multicentre clinical trial."
31982206,2020,10.1016/j.ejso.2020.01.005,,Is watch and wait a safe and effective way to treat rectal cancer in older patients?
26334237,2015,10.1007/s12664-015-0589-9,,Preliminary experience with lateral pelvic lymph node dissection in locally advanced rectal cancer.
24172167,2014,10.1177/1553350613507145,,Development and clinical implementation of a hemostatic balloon device for rectal cancer surgery.
31080094,2019,10.1016/S2468-1253(19)30092-5,,Thinking outside the box: a more efficient diagnostic approach in metastatic colorectal cancer.
26123334,2016,10.1007/s00464-015-4324-5,,CT/MRI pelvimetry as a useful tool when selecting patients with rectal cancer for transanal total mesorectal excision.
